latency,time,GPU1,GPU2,fps,time_rel,,
28.1211,19433.7168,25.6094,26.5976,35.56048661,16097.2129,,
28.5098,19462.2266,25.6328,26.998,35.07565819,16125.7227,,
28.25,19490.4766,25.5938,26.7421,35.39823009,16153.9727,,
28.2675,19518.7441,25.3164,26.7852,35.37631556,16182.2402,,
28.3672,19547.1113,25.3515,26.875,35.25198116,16210.6074,,
28.0332,19575.1445,25.7676,26.5293,35.67198893,16238.6406,,
28.2969,19603.4414,25.625,26.834,35.33956016,16266.9375,,
28.4648,19631.9062,25.6601,26.9453,35.1311093,16295.4023,,
28.1622,19660.0684,25.5859,26.6777,35.50858953,16323.5645,,
28.3671,19688.4355,25.4277,26.8789,35.25210543,16351.9316,,
28.1895,19716.625,25.6016,26.709,35.47420139,16380.1211,,
28.2129,19744.8379,25.6953,26.7148,35.44477881,16408.334,,
28.0801,19772.918,25.7187,26.5957,35.61240879,16436.4141,,
28.0156,19800.9336,25.461,26.5254,35.69439883,16464.4297,,
28.0957,19829.0293,25.4297,26.5683,35.59263517,16492.5254,,
28.0762,19857.1055,25.8105,26.5488,35.61735563,16520.6016,,
27.9336,19885.0391,25.584,26.3945,35.79918091,16548.5352,,
28,19913.0391,25.6816,26.5156,35.71428571,16576.5352,,
28.1386,19941.1777,25.7774,26.6211,35.53837078,16604.6738,,
28.4063,19969.584,25.6856,26.9219,35.20345839,16633.0801,,
28.2031,19997.7871,25.623,26.6836,35.45709514,16661.2832,,
28.2715,20026.0586,25.5898,26.7519,35.37131033,16689.5547,,
28.082,20054.1406,25.3848,26.5821,35.60999929,16717.6367,,
28.0899,20082.2305,25.6876,26.5742,35.59998434,16745.7266,,
28.1367,20110.3672,25.625,26.4219,35.54077059,16773.8633,,
28.082,20138.4492,25.6348,26.4824,35.60999929,16801.9453,,
28.0274,20166.4766,25.4219,26.5196,35.6793709,16829.9727,,
28.0019,20194.4785,25.459,26.5547,35.71186241,16857.9746,,
