latency,time,GPU1,GPU2
27.9746,21258.4004,26.5957,25.836
27.8652,21286.2656,26.5214,25.8457
27.5449,21313.8105,26.17,25.9024
28.2813,21342.0918,26.8886,25.6192
27.9355,21370.0273,26.6016,25.625
28.045,21398.0723,26.6055,25.4199
28.0664,21426.1387,26.748,25.166
28.0078,21454.1465,26.67,25.875
28.0195,21482.166,26.6778,25.8184
27.9942,21510.1602,26.6387,25.5644
27.7207,21537.8809,26.4102,25.539
27.9863,21565.8672,26.6328,25.5996
27.959,21593.8262,26.5781,25.3555
28.2383,21622.0645,26.9316,25.791
28.0703,21650.1348,26.5606,25.7949
27.9062,21678.041,26.5449,25.6914
28.1524,21706.1934,26.8106,25.582
28.0039,21734.1973,26.6523,25.5567
28,21762.1973,26.6523,25.375
28.1777,21790.375,26.8067,25.1367
28.1699,21818.5449,26.7403,25.832
27.9903,21846.5352,26.1602,26.3536
27.7246,21874.2598,26.1133,26.1524
27.6757,21901.9355,26.0684,26.0449
27.7207,21929.6562,26.0273,26.0859
27.5352,21957.1914,26.207,25.8711
27.9277,21985.1191,26.0918,26.3125
28.0704,22013.1895,25.8574,26.3886
27.8398,22041.0293,25.8594,26.1875
27.8125,22068.8418,25.7793,26.1739
27.9043,22096.7461,25.8261,26.2247
27.6191,22124.3652,26.1621,25.998
27.416,22151.7812,25.9824,25.7676
27.9512,22179.7324,26.1582,26.3223
27.961,22207.6934,26.0078,26.3281
27.8183,22235.5117,26.0703,26.1914
27.8457,22263.3574,25.834,26.1465
27.7598,22291.1172,25.8535,26.166
27.6621,22318.7793,26.289,25.9336
27.3828,22346.1621,26.0801,25.6856
27.9941,22374.1562,26.1328,26.3535
28.0157,22402.1719,26.2656,26.3164
28.3984,22430.5703,25.8398,26.6972
28.1719,22458.7422,25.5645,26.5742
28.3223,22487.0645,25.4687,26.6855
28.039,22515.1035,25.2871,26.3496
28.5254,22543.6289,25.4863,26.832
28.9141,22572.543,25.6757,26.8848
28.4511,22600.9941,25.377,26.7148
28.3145,22629.3086,25.2793,26.6445
28.2969,22657.6055,25.3828,26.6641
27.9629,22685.5684,25.1758,26.2813
28.5195,22714.0879,25.6055,26.8222
28.5879,22742.6758,25.5801,26.9688
28.334,22771.0098,25.5371,26.7265
28.2617,22799.2715,25.295,26.6152
28.209,22827.4805,25.3203,26.6289
28.0625,22855.543,25.5411,26.4882
27.9511,22883.4941,25.6133,26.3457
28.5801,22912.0742,25.4394,26.9004
29.7403,22941.8145,25.4902,26.9433
28.3437,22970.1582,25.5,26.6406
28.2402,22998.3984,25.4199,26.6328
28.961,23027.3594,25.627,26.6426
27.4238,23054.7832,26.0937,25.8594
27.9922,23082.7754,25.9062,26.459
27.8281,23110.6035,25.8633,26.3242
27.6406,23138.2441,25.7266,26.1387
29.0235,23167.2676,26.0332,26.0352
27.7168,23194.9844,26.0957,26.1738
27.3379,23222.3223,26.0703,25.8496
27.7402,23250.0625,25.7871,26.2519
27.875,23277.9375,25.8536,26.3242
27.7793,23305.7168,26.2031,26.1914
27.6289,23333.3457,25.9844,26.123
27.5234,23360.8691,26.0742,26.0352
27.5528,23388.4219,26.0254,26.0508
27.1133,23415.5352,25.9258,25.6094
27.7128,23443.248,26.3809,26.207
27.8907,23471.1387,26.2813,26.3145
27.6933,23498.832,26.0274,26.1386
27.6446,23526.4766,26.039,26.1211
27.6308,23554.1074,26.0332,26.125
27.586,23581.6934,26.3632,25.9532
27.4453,23609.1387,26.1074,25.664
28.0039,23637.1426,26.748,25.8223
27.8222,23664.9648,26.5976,25.7852
27.7969,23692.7617,26.5664,25.6563
28.0274,23720.7891,26.7578,25.5879
27.955,23748.7441,26.6836,25.6016
28.0918,23776.8359,26.8047,25.3496
28.0118,23804.8477,26.6719,25.0585
27.8164,23832.6641,26.5489,25.1231
27.9961,23860.6602,26.793,25.7851
28.1953,23888.8555,26.9824,25.7734
27.8613,23916.7168,26.6426,25.7207
27.873,23944.5898,26.6269,25.5625
28.0704,23972.6602,26.7754,25.5351
28.0703,24000.7305,26.8105,25.4394
29.2363,24029.9668,26.707,25.2285
27.9824,24057.9492,26.7207,25.1386
27.8848,24085.834,26.6094,25.791
27.7637,24113.5977,26.5176,25.7461
27.6152,24141.2129,26.3106,25.7793
27.6133,24168.8262,26.3066,25.5371
27.6133,24196.4395,26.3496,25.5469
28.1953,24224.6348,26.832,25.5391
27.4121,24252.0469,26.1446,25.7403
27.9414,24279.9883,25.9864,26.3438
27.9277,24307.916,26.1074,26.3418
27.7754,24335.6914,26.0039,26.1699
27.7148,24363.4062,26.3106,26.0313
28.1758,24391.582,26.1386,26.0332
27.5196,24419.1016,26.0078,25.9531
27.9394,24447.041,26.1094,26.2851
27.8789,24474.9199,25.9297,26.3086
27.8965,24502.8164,26.3535,26.2344
27.7129,24530.5293,26.125,26.1407
27.6719,24558.2012,26.0605,26.0898
27.8496,24586.0508,26.0528,26.3477
29.3476,24615.3984,25.9063,26.4316
27.7911,24643.1895,25.9375,26.2148
27.7734,24670.9629,25.9766,26.166
27.75,24698.7129,26.1973,26.166
27.5117,24726.2246,26.0098,25.9238
27.375,24753.5996,26.0781,25.6953
28.084,24781.6836,26.3282,26.4765
27.9219,24809.6055,26.1875,26.3086
28.6543,24838.2598,25.6231,26.8887
28.1757,24866.4355,25.5332,26.5938
28.2325,24894.668,25.4414,26.6152
28.3515,24923.0195,25.6816,26.6192
27.9766,24950.9961,25.7168,26.3242
28.4121,24979.4082,25.5351,26.7969
28.5059,25007.9141,25.5722,26.875
28.3398,25036.2539,25.6074,26.7696
28.1777,25064.4316,25.4707,26.5743
28.2071,25092.6387,25.3496,26.5937
28.2148,25120.8535,25.3535,26.6289
29.3906,25150.2441,25.6132,26.291
28.4356,25178.6797,25.5411,26.8593
28.5019,25207.1816,25.3555,26.9297
28.2735,25235.4551,25.6367,26.7266
28.1054,25263.5605,25.5918,26.5507
28.2911,25291.8516,25.3965,26.6914
27.957,25319.8086,25.5137,26.4062
27.7539,25347.5625,25.582,26.1914
28.4707,25376.0332,25.5528,26.8731
28.4219,25404.4551,25.4375,26.8496
28.4375,25432.8926,25.2735,26.7481
27.6758,25460.5684,26.1269,26.1328
27.8789,25488.4473,26.2227,26.3243
27.9804,25516.4277,26.1465,26.4512
27.836,25544.2637,25.7344,26.2734
27.7617,25572.0254,25.8613,26.2129
27.7168,25599.7422,26.4121,26.127
27.6172,25627.3594,26.1582,26.0371
27.3437,25654.7031,26.0546,25.7461
27.9961,25682.6992,26.0195,26.4375
27.9473,25710.6465,25.8359,26.3106
27.9648,25738.6113,25.918,26.3926
